hidden_size,num_layers,dropout_rate,learning_rate,batch_size,train_acc,val_acc,test_acc,time
128,4,0.1,0.001,64,0.784765625,0.7859375,0.7925,105.64615273475647
128,4,0.1,0.001,128,0.665625,0.6375,0.64875,47.52395701408386
128,4,0.1,0.0001,32,0.789453125,0.81875,0.8075,105.34545469284058
128,4,0.1,0.0001,64,0.7703125,0.803125,0.78625,106.37313055992126
128,4,0.1,0.0001,128,0.74921875,0.7453125,0.745,99.84990239143372
128,4,0.1,0.0005,32,0.839453125,0.8703125,0.8625,111.60549879074097
128,4,0.1,0.0005,64,0.4890625,0.5,0.5,27.59994649887085
128,4,0.1,0.0005,128,0.816015625,0.821875,0.84125,81.93199038505554
128,4,0.2,0.01,32,0.48046875,0.5,0.5,23.014675855636597
128,4,0.2,0.01,64,0.48515625,0.5,0.5,30.575486421585083
128,4,0.2,0.01,128,0.49609375,0.5,0.5,45.20705723762512
128,4,0.2,0.001,32,0.49921875,0.5,0.5,23.68576407432556
128,4,0.2,0.001,64,0.49921875,0.5015625,0.505,33.09215593338013
128,4,0.2,0.001,128,0.855859375,0.8546875,0.82875,101.4181342124939
128,4,0.2,0.0001,32,0.695703125,0.678125,0.66625,63.54584074020386
128,4,0.2,0.0001,64,0.82109375,0.84375,0.8325,106.94263243675232
128,4,0.2,0.0001,128,0.600390625,0.60625,0.62375,97.78201293945312
128,4,0.2,0.0005,32,0.859765625,0.859375,0.86125,105.5027904510498
128,4,0.2,0.0005,64,0.83203125,0.8671875,0.8325,110.5491726398468
128,4,0.2,0.0005,128,0.8125,0.80625,0.81375,98.81608581542969
128,4,0.3,0.01,32,0.500390625,0.5,0.5,21.784812927246094
128,4,0.3,0.01,64,0.49296875,0.5,0.5,23.757376670837402
128,4,0.3,0.01,128,0.485546875,0.5,0.5,22.303778409957886
128,4,0.3,0.001,32,0.8921875,0.925,0.91375,105.74697184562683
128,4,0.3,0.001,64,0.597265625,0.5953125,0.58125,42.269068002700806
