Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.981469591469852, 'sigma_b': 0.01853040853014796, 'rho': 102.79045059460695, 'd': 0.01904749042516057, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 525.0035451804513, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0699999999999996,50,53.49999999999998,0.5875,0.5,0.525,0.5125,0.4875,0.45,0.4875,0.6125,0.55,0.575,0.575
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4875
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9816380484786958, 'sigma_b': 0.018361951521304095, 'rho': 102.75468533594365, 'd': 0.018867765507254542, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 530.0044669388678, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0799999999999996,50,53.99999999999998,0.425,0.4875,0.4875,0.425,0.425,0.45,0.5,0.475,0.475,0.4625,0.4375
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.5375,0.4875,0.5
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9818034696769732, 'sigma_b': 0.018196530323026833, 'rho': 102.71958882449957, 'd': 0.018691401128138548, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 535.00537126378, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0899999999999996,50,54.49999999999998,0.55,0.6125,0.575,0.475,0.4875,0.45,0.525,0.4875,0.525,0.4875,0.525
"[{'sigma_u': 0.9819659364120522, 'sigma_b': 0.018034063587947718, 'rho': 102.68514247393574, 'd': 0.01851830388912428, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 540.0062586656738, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0999999999999996,50,54.999999999999986,0.425,0.4375,0.5125,0.4875,0.4625,0.45,0.375,0.5125,0.525,0.475,0.5
"[{'sigma_u': 0.9819659364120522, 'sigma_b': 0.018034063587947718, 'rho': 102.68514247393574, 'd': 0.01851830388912428, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 540.0062586656738, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0999999999999996,50,54.999999999999986,0.425,0.4375,0.5125,0.4875,0.4625,0.45,0.375,0.5125,0.525,0.475,0.5
"[{'sigma_u': 0.9819659364120522, 'sigma_b': 0.018034063587947718, 'rho': 102.68514247393574, 'd': 0.01851830388912428, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 540.0062586656738, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0999999999999996,50,54.999999999999986,0.425,0.4375,0.5125,0.4875,0.4625,0.45,0.375,0.5125,0.525,0.475,0.5
